customer_id,total_spent,total_orders,last_purchase_date
18102,580987.04,145,2011-12-09 11:50:00
14646,528602.52,151,2011-12-08 12:12:00
14156,313437.62,156,2011-11-30 10:54:00
14911,291420.81,398,2011-12-08 15:54:00
17450,244784.25,51,2011-12-01 13:29:00
13694,195640.69,143,2011-12-06 09:32:00
17511,172132.87,60,2011-12-07 10:12:00
16446,168472.5,2,2011-12-09 09:15:00
16684,147142.77,55,2011-12-05 14:06:00
12415,144458.37,28,2011-11-15 14:22:00
15061,126389.02,127,2011-12-06 12:06:00
16029,117763.62,107,2011-11-01 10:27:00
17949,117314.08,118,2011-12-08 18:46:00
15311,114966.42,208,2011-12-09 12:00:00
13089,113416.91,203,2011-12-07 09:02:00
12931,92347.34,57,2011-11-18 12:39:00
14298,91194.49,82,2011-12-01 13:12:00
15769,88612.52,46,2011-12-02 13:52:00
12346,77556.46,12,2011-01-18 10:01:00
13798,75428.87,110,2011-12-08 15:51:00
15838,73205.5,34,2011-11-28 14:00:00
17841,68545.25,211,2011-12-08 12:07:00
16754,65500.07,29,2010-12-02 17:38:00
14096,65164.79,17,2011-12-05 17:17:00
14088,64036.8,16,2011-11-29 16:16:00
16422,61920.87,109,2011-11-22 14:00:00
17389,57215.33,61,2011-12-09 09:38:00
13081,56838.37,28,2011-11-28 10:54:00
16013,56078.44,84,2011-12-06 10:36:00
14680,55688.5,58,2011-11-14 16:59:00
13093,54144.25,55,2011-03-09 12:14:00
12748,53539.64,336,2011-12-09 12:20:00
17850,51208.87,155,2010-12-02 15:27:00
13408,50174.782,106,2011-12-08 09:05:00
13777,49638.26,61,2011-12-09 12:25:00
17404,47781.12,23,2011-12-05 16:26:00
13881,45179.1,43,2011-12-06 12:50:00
15749,44534.3,3,2011-04-18 13:20:00
16705,43515.051,42,2011-12-09 12:08:00
12471,39918.19,79,2011-12-07 15:43:00
15098,39916.5,3,2011-06-10 15:33:00
15039,39141.48,93,2011-11-30 11:31:00
14031,39019.51,44,2011-12-02 17:13:00
17675,37642.48,70,2011-12-08 18:03:00
17381,36398.65,38,2011-12-01 11:59:00
