stockcode,description,total_quantity_sold,total_revenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44
17003,BROCADE RING PURSE ,70082,14640.96
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.350000000002
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.920000000002
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8
22197,SMALL POPCORN HOLDER,42955,32505.93
22492,MINI PAINT SET VINTAGE ,41507,25900.190000000002
15036,ASSORTED COLOURS SILK FAN,40994,28766.32
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75
22616,PACK OF 12 LONDON TISSUES ,37084,10519.359999999999
85099F,JUMBO BAG STRAWBERRY,35842,64127.77
21915,RED  HARMONICA IN BOX ,35229,39870.65
